row_type,fold,accuracy,balanced_accuracy,macro_f1,buy_recall,sell_recall,direction_roc_auc,filter_roc_auc,scaler_fit_rows
fold,1,0.46252086811352255,0.4605926958928939,0.4488472104078201,0.27032404775440594,0.615220700152207,0.5132754098729474,0.7751664145262414,11984
fold,2,0.502253756260434,0.4822930116716444,0.47753350521744703,0.28860759493670884,0.5034542314335061,0.5167678401822823,0.787825757151914,23964
fold,3,0.45141903171953257,0.46092280769131166,0.41716854345689186,0.14157806379406826,0.7721958925750395,0.5171001555025722,0.7931569545417906,35944
fold,4,0.510517529215359,0.4679602932685609,0.4375167468980828,0.12354312354312354,0.5365701836290072,0.4809781721546428,0.7900993411342251,47924
fold,5,0.5045909849749582,0.4702521188177992,0.4654342631526121,0.30724971231300346,0.37257737923054673,0.520310810140563,0.7817455339968725,59904
mean,,0.4862604340567612,0.468404185468442,0.4493000538265708,0.226260508468262,0.5600036774040613,0.5096864775706015,0.7855988002702087,
std,,0.024321564199723637,0.00791835556267309,0.021113625155274183,0.07760152501953498,0.13187118070105036,0.01452605930320423,0.006419069002571181,
min,,0.45141903171953257,0.4605926958928939,0.41716854345689186,0.12354312354312354,0.37257737923054673,0.4809781721546428,0.7751664145262414,
max,,0.510517529215359,0.4822930116716444,0.47753350521744703,0.30724971231300346,0.7721958925750395,0.520310810140563,0.7931569545417906,
