strategy,threshold,signals,trades,trade_frequency,buy_trades,sell_trades,win_rate,average_return,median_return,cumulative_gross_return,profit_factor,maximum_drawdown,average_mfe,average_mae,reached_plus_1atr_pct,reached_minus_1atr_pct,first_passage_favorable_pct,first_passage_adverse_pct,first_passage_tie_pct,permutation_p_value
unfiltered,,19969,19969,1.0,10337,9632,0.4972206920727127,-1.712810627239575e-05,0.0,-0.34203115415347074,0.9740797851783591,0.6049348720909876,0.0009205508816898615,-0.000940711186405116,29.871300515799486,30.30196805047824,28.429065050828783,28.78461615504031,0.03505433421803796,
activity_filter,0.7,19969,11724,0.5871100205318244,6595,5129,0.4920675537359263,-1.9946386215051075e-05,-2.0418155507999923e-05,-0.23385143198525882,0.975062448020743,0.5241401821106733,0.001111000937713,-0.0011372079036081628,37.922210849539404,38.64721937905152,35.636301603548276,36.173660866598425,0.0597065847833504,0.5868263473053892
activity_filter,0.8,19969,8995,0.45044819470178776,5334,3661,0.48993885491939965,-1.854417476054394e-05,-2.116263271616042e-05,-0.16680485197109274,0.977416036005786,0.43180967214058835,0.0011337822058867166,-0.0011631330195002413,39.777654252362424,40.54474708171206,37.065036131183994,37.65425236242357,0.06670372429127293,0.5049900199600799
