fold,fit_rows,validation_rows,buy_roc_auc,buy_pr_auc,buy_balanced_accuracy,sell_roc_auc,sell_pr_auc,sell_balanced_accuracy,combination_direction_roc_auc,combination_direction_balanced_accuracy,scaler_fit_rows_buy,scaler_fit_rows_sell
1,11987,11986,0.6224357349942733,0.28380627712987255,0.5134395094536537,0.5980120797871387,0.25756652227698285,0.5427145902521779,0.5261576039054598,0.5095404547479891,11987,11987
2,23973,11986,0.6322284643223792,0.30266294240319147,0.5067676521522716,0.6078284441562493,0.2694733248932387,0.5439843994761392,0.5290082245644826,0.5138015798203446,23973,23973
3,35959,11986,0.6285797842810691,0.2964107982324307,0.5047940327689486,0.6073602304565466,0.23965938968797795,0.5705956019720855,0.5236939622017727,0.5078735197782817,35959,35959
4,47945,11986,0.6080611862330144,0.27858343688935716,0.5081049902478474,0.6241848628655073,0.24774853311648198,0.5163335601353779,0.47658390697052727,0.4803958608104072,47945,47945
5,59931,11986,0.6334641585932159,0.2810517605405848,0.5217827425150103,0.6115462308385783,0.26936577574249254,0.5084581382425969,0.5068847484637823,0.5035564882755156,59931,59931
