model,accuracy,balanced_accuracy,macro_f1,sell_precision,sell_recall,buy_precision,buy_recall,no_trade_precision,no_trade_recall,sell_prediction_pct,buy_prediction_pct,no_trade_prediction_pct,filter_roc_auc,direction_roc_auc,emitted_trade_precision
majority_no_trade,0.5906644975597547,0.3333333333333333,0.24755461149135918,0.0,0.0,0.0,0.0,0.5906644975597547,1.0,0.0,0.0,100.0,,,
reference_42f,0.5086972844450006,0.40638999294792416,0.36408925785314034,0.2560131795716639,0.4955357142857143,0.34782608695652173,0.042278332354668234,0.677195198989261,0.6813559322033899,37.98022775622575,2.590414215992992,59.429358027781255,0.6689584639539041,0.5129618200774144,0.2618753855644664
ablation_25f,0.5915404830434239,0.38903459621753894,0.3720994583661921,0.2972972972972973,0.09119897959183673,0.3581514762516046,0.1638285378743394,0.6395780716089734,0.9120762711864406,6.0192716806407205,9.74846702540358,84.2322612939557,0.7011527859100778,0.51636723758793,0.3349206349206349
normalized_18f,0.5856588662245026,0.36038206936585954,0.3225147867269132,0.26936026936026936,0.05102040816326531,0.3418013856812933,0.08690546095126248,0.6131386861313869,0.9432203389830508,3.716681266424728,5.4185959204104615,90.8647228131648,0.6644583693889289,0.5091588822845639,0.31232876712328766
