dimension,group,split,row_count,sell_pct,buy_pct,no_trade_pct,validation_minus_train_sell_pct_pp,validation_minus_train_buy_pct_pp,validation_minus_train_no_trade_pct_pp
utc_hour,0,train,12,8.333333333333334,8.333333333333334,83.33333333333333,,,
utc_hour,1,train,3142,5.155951623169956,4.201145767027371,90.64290260980268,0.8099574677391352,1.4806724147908108,-2.2906298825299416
utc_hour,2,train,3144,8.524173027989821,8.492366412213741,82.98346055979644,3.9758269720101787,2.8712699514226223,-6.847096923432801
utc_hour,3,train,3144,9.541984732824428,9.764631043256998,80.69338422391857,2.6739243580846637,1.8830962294702758,-4.557020587554931
utc_hour,4,train,3145,8.966613672496026,9.475357710651828,81.55802861685214,1.8288408729585193,0.7519150166208988,-2.5807558895794074
utc_hour,5,train,3148,7.878017789072427,8.259212198221093,83.86277001270648,1.212891301836665,1.968060529051634,-3.18095183088829
utc_hour,6,train,3148,9.593392630241423,9.021601016518424,81.38500635324016,4.611152824304032,-1.0670555619729702,-3.5440972623310643
utc_hour,7,train,3148,16.296060991105463,15.787801778907243,67.9161372299873,2.1698480998036267,2.9621982210927573,-5.132046320896393
utc_hour,8,train,3147,27.35938989513823,26.278995869081665,46.36161423578011,-4.916208076956412,5.539185949100151,-0.6229778721437427
utc_hour,9,train,3147,32.22116301239276,33.8417540514776,33.93708293612965,1.5856551694254222,-4.580390415113964,2.9947352456885312
utc_hour,10,train,3148,28.335451080050827,31.353240152477763,40.31130876747141,-3.3354510800508272,-1.52369469793231,4.859145777983137
utc_hour,11,train,3148,22.61753494282084,25.34942820838628,52.03303684879288,-5.5720803973662925,-3.1903372992953685,8.762417696661664
utc_hour,12,train,3148,22.01397712833545,24.52350698856417,53.46251588310038,3.4874555364209954,-11.342991229251847,7.855535692830848
utc_hour,13,train,3148,24.682337992376112,25.508259212198222,49.80940279542567,-2.843257532605996,0.928522396997181,1.9147351356088151
utc_hour,14,train,3148,30.559085133418044,28.843710292249046,40.59720457433291,-4.122303524222641,3.0528414318888863,1.069462092333751
utc_hour,15,train,3148,35.35578144853876,38.72299872935197,25.921219822109276,-0.2983101841709441,0.07010471892389347,0.2282054652470471
utc_hour,16,train,3147,35.462345090562444,39.11661900222434,25.42103590721322,0.7445514611616915,4.561541917315893,-5.306093378477588
utc_hour,17,train,3144,27.92620865139949,31.361323155216287,40.712468193384225,-1.2020707203650076,-1.1889093621128382,2.3909800824778458
utc_hour,18,train,3144,23.791348600508904,26.55852417302799,49.650127226463106,-4.251118715451433,-3.570018425901555,7.821137141352985
utc_hour,19,train,3144,23.40966921119593,24.84096692111959,51.74936386768448,-2.7200140387821357,-1.5651048521540751,4.285118890936211
utc_hour,20,train,3037,23.24662495884096,26.012512347711557,50.74086269344748,-5.5289072411232425,-8.294794629993838,13.82370187111708
utc_hour,21,train,3032,21.108179419525065,25.16490765171504,53.726912928759894,-4.5419143592841,-1.9721365673776923,6.514050926661795
utc_hour,22,train,3030,16.435643564356436,17.22772277227723,66.33663366336634,-1.420628549341421,-0.7112062557607111,2.1318348051021303
utc_hour,23,train,3026,7.369464639788499,8.129543952412426,84.50099140779908,0.6662496459257872,5.263313190444716,-5.929562836370508
