feature,family,ks_statistic,psi,wasserstein,wasserstein_train_std_units,train_mean,validation_mean,train_std,validation_std
sma_200,price_level_or_scale_dependent,0.8371038836436447,10.827398441397662,7649.266160167021,1.8141680432192342,36811.415973983894,44460.68213415092,4216.404422268087,1224.2251777992392
sma_50,price_level_or_scale_dependent,0.8319733029329701,10.853120728737617,7678.194948808938,1.8190467736818672,36822.069304976576,44500.26425378551,4220.999184791593,1223.9853243818584
bb_lower,price_level_or_scale_dependent,0.8311111144829846,10.875440688808126,7693.196417789604,1.8207957692464345,36726.14411769787,44419.34053548748,4225.183597045349,1236.1432478118495
ema_26,price_level_or_scale_dependent,0.8304297943735447,10.853120728737617,7683.077726668137,1.820018899975518,36823.72255869627,44506.8002853644,4221.427440545527,1223.3902394626878
sma_20,price_level_or_scale_dependent,0.829790133336298,10.851633499152102,7684.312106323129,1.8200712695856598,36824.13767342909,44508.44977975223,4221.984179813171,1224.1722385026899
ema_12,price_level_or_scale_dependent,0.8293312745168473,10.853717072008651,7685.910251562631,1.8204042223462533,36824.68727175575,44510.59752331837,4222.0898837822615,1223.910891889332
sma_10,price_level_or_scale_dependent,0.8287890209898263,10.855985907272727,7686.329805811927,1.8204042154415876,36824.822905988854,44511.15271180078,4222.320372921902,1224.260316207837
bb_upper,price_level_or_scale_dependent,0.8270648250573801,10.842236256790505,7675.427794856653,1.8183369373897065,36922.13122916031,44597.55902401697,4221.125159496033,1216.0304746151921
obv,price_level_or_scale_dependent,0.6036132877332989,8.345181486724545,219192.00647950044,0.8607688093068103,407141.68865497725,551643.3171067451,254646.78100501685,49825.422563329776
atr_pct,normalized_relative,0.17826645559844234,0.34252018820877883,0.0002777564306490032,0.34922812638157075,0.0011445067524576476,0.0008778211918282658,0.000795343815880177,0.0003769847886400231
volatility_20,normalized_relative,0.14569157554776335,0.21107961417775728,0.00020034503379362585,0.2958625415726246,0.0007915905278588541,0.0005984403339226579,0.0006771557924457554,0.00035258050045260136
volume_sma,price_level_or_scale_dependent,0.1353426083354301,0.1446345659070522,248.47318942544044,0.2811668099265305,1072.4333286983606,1309.0970466775123,883.7216223720254,1042.3584663985896
volatility_5,normalized_relative,0.12865666569246392,0.09876715934603676,0.00017943428148254955,0.23513434470496233,0.0007129895743706776,0.0005350690468831399,0.0007631138773355159,0.0004422161380134094
price_to_sma_200,normalized_relative,0.12393787310403001,0.21142595138441514,0.0020430585241378745,0.24786637544189305,1.0003978488339809,1.0012015764645223,0.00824258038427171,0.005003491542622383
atr,price_level_or_scale_dependent,0.12128043286708032,0.286121374885405,5.336125079261916,0.1863196218636091,41.45416036552276,38.93812659592916,28.63963025412375,16.390476546808614
