row_type,fold,accuracy,balanced_accuracy,macro_f1,buy_recall,scaler_fit_rows
fold,1.0,0.5523110295344569,0.410484133661678,0.41020372727121845,0.1984251968503937,11987.0
fold,2.0,0.5586517603871183,0.40214558978980514,0.3955070314198901,0.21309613928841786,23973.0
fold,3.0,0.5747538795261138,0.4058500061943106,0.4017077279259509,0.17838246409674982,35959.0
fold,4.0,0.5905222759886535,0.3922256049812492,0.37941924810265953,0.17896389324960754,47945.0
fold,5.0,0.5798431503420658,0.38796773624722175,0.36984153758305044,0.1636073423782921,59931.0
mean,,0.5712164191556817,0.39973461417485295,0.39133585446055386,0.18649500717269224,
std,,0.013963771923018977,0.008409609115750534,0.014730799475434158,0.017299282571289182,
min,,0.5523110295344569,0.38796773624722175,0.36984153758305044,0.1636073423782921,
max,,0.5905222759886535,0.410484133661678,0.41020372727121845,0.21309613928841786,
