treatment,fold,direction_auc,balanced_accuracy,buy_recall,sell_recall,directional_macro_f1,activity_auc,scaler_fit_rows
higher_timeframe,1,0.4937910269170124,0.49194553787429784,0.4866965620328849,0.4971945137157107,0.4918229130764459,0.7788142640560285,11097
higher_timeframe,2,0.5180194438065433,0.5027454291599469,0.329503016374605,0.6759878419452887,0.4848244141319421,0.784569049848375,22194
higher_timeframe,3,0.5102595654177394,0.5011621722117372,0.20633988846492515,0.7959844559585493,0.44625163022631376,0.7873896578754291,33291
higher_timeframe,4,0.49944336872001543,0.5007821040311073,0.21575649059982094,0.7858077174623938,0.4499565405282807,0.7928976430062886,44388
higher_timeframe,5,0.5114108564780223,0.5085280440336158,0.5029673590504451,0.5140887290167866,0.5084954790785581,0.7815177800102601,55485
cross_market,1,0.48517812345071554,0.48811281773145615,0.5713004484304933,0.404925187032419,0.4853632480263883,0.7814163373726258,11097
cross_market,2,0.5219791503856367,0.5160090076481184,0.32806664751508186,0.703951367781155,0.49554196805737316,0.7800380528774609,22194
cross_market,3,0.5151995814773302,0.5022598057032839,0.20076313472262988,0.8037564766839378,0.4449134235503542,0.796115170998719,33291
cross_market,4,0.4969272079691175,0.5044607107510053,0.14920919128618323,0.8597122302158273,0.42473997499906957,0.7913963146162313,44388
cross_market,5,0.5137095368215814,0.511678194536359,0.443620178041543,0.579736211031175,0.5092299372578525,0.772151174388575,55485
combined,1,0.48896080053975677,0.49014543238316766,0.4834080717488789,0.49688279301745636,0.4899982953465756,0.7852857382544927,11097
combined,2,0.5156043358256589,0.5085611513304094,0.301924734271761,0.7151975683890578,0.4836394504643211,0.7888968127309683,22194
combined,3,0.5057839144796372,0.5019117338426982,0.21690636923980042,0.7869170984455959,0.4506784190957409,0.7934397100835431,33291
combined,4,0.5112502168851718,0.5053290321271102,0.19934347955834078,0.8113145846958797,0.44709517588401415,0.7978670572845246,44388
combined,5,0.5062705918351372,0.5100147478456405,0.5053412462908012,0.5146882494004796,0.5099889171149632,0.7778769346485432,55485
