row_type,fold,accuracy,balanced_accuracy,macro_f1,buy_recall,scaler_fit_rows
fold,1.0,0.532037376939763,0.3786519855320642,0.3724659740308893,0.13228346456692913,11987.0
fold,2.0,0.5460537293509093,0.37228087236117097,0.3553107813434249,0.13588190764572294,23973.0
fold,3.0,0.5674119806440847,0.3810022822044297,0.36958796134400335,0.14663643235071808,35959.0
fold,4.0,0.586434173202069,0.3691221449768178,0.3430299492935427,0.11342229199372056,47945.0
fold,5.0,0.5733355581511764,0.35993136304894086,0.3221278938556948,0.08699122106943336,59931.0
mean,,0.5610545636576005,0.3721977296246847,0.352504511973511,0.12304306352530481,
std,,0.01950582637078267,0.007471378026291919,0.01849694906675766,0.020972184300240865,
min,,0.532037376939763,0.35993136304894086,0.3221278938556948,0.08699122106943336,
max,,0.586434173202069,0.3810022822044297,0.3724659740308893,0.14663643235071808,
