split,rule,filter,threshold,signals,trades,trade_frequency,buy_trades,sell_trades,win_rate,average_return,median_return,cumulative_gross_return,profit_factor,maximum_drawdown,average_mfe,average_mae,reached_plus_1atr_pct,reached_minus_1atr_pct,first_passage_favorable_pct,first_passage_adverse_pct,first_passage_tie_pct,permutation_p_value
train,momentum_3,unfiltered,,71430,71430,1.0,36683,34747,0.4889682206355873,9.619825882173245e-07,-2.239453405733073e-05,0.06871441627636349,1.0014236317418612,0.6180781526205154,0.000970046873972448,-0.0009659478856794472,30.310793784124318,30.86518269634607,28.59722805543889,29.15441691166177,0.044799104017919644,
train,momentum_3,ml,0.5,71430,45852,0.6419151616967661,23062,22790,0.49779726075198466,2.330963607062174e-05,0.0,1.068793433110148,1.0266565609788978,0.3813623856145632,0.0012589784740419405,-0.0012255092255401506,42.89016836779203,42.72441769170374,40.22943383058536,40.076768734188256,0.06978975835296171,0.001996007984031936
train,momentum_3,random,0.5,71430,45852,0.6419151616967661,23484,22368,0.48896449446043794,-3.4007371294086314e-06,-2.239453405733073e-05,-0.15593059885764457,0.9949663417802137,0.7430808850588982,0.0009635573886377064,-0.0009669003869479039,30.23641280642066,30.923405740207627,28.524382796824565,29.217918520457125,0.054523248713251336,
train,momentum_3,ml,0.6,71430,40864,0.5720845583088339,20220,20644,0.49924138606108065,3.2321345410089194e-05,0.0,1.3207794588378847,1.0355942456522358,0.31371367984025805,0.0013099367123887615,-0.001264360252394955,45.487470634299136,44.83653093187158,42.5386648394675,41.89751370399373,0.07830853563038372,0.001996007984031936
train,momentum_3,random,0.6,71430,40864,0.5720845583088339,20944,19920,0.48803347689898197,2.881966812122338e-06,-2.2982152752376247e-05,0.1177686918105672,1.0042746397287703,0.39672683414677185,0.0009699231731001203,-0.0009645779391315466,30.12920908379013,31.029757243539546,28.399079874706345,29.309416601409556,0.046495693030540325,
train,momentum_3,ml,0.7,71430,31607,0.44248915021699564,15036,16571,0.501186446040434,4.364530546277689e-05,1.1771511200710622e-05,1.3794971697619893,1.0451296199131201,0.27823131185346517,0.0013966826155238459,-0.0013392791221368248,49.62508305122283,48.65061537001297,46.002467807764106,45.043819407093366,0.0980795393425507,0.001996007984031936
train,momentum_3,random,0.7,71430,31607,0.44248915021699564,16330,15277,0.48878413009776317,-5.122627625617479e-06,-2.2369583093443205e-05,-0.16191089136289166,0.9924922350132159,0.41739610814168904,0.0009746624890109567,-0.000966329469910567,30.379346347328124,30.686240389787073,28.696174897965644,28.99041351599329,0.028474704970417944,
train,momentum_3,ml,0.8,71430,18898,0.2645667086658267,8851,10047,0.5019049634881998,3.782677777711955e-05,1.5544211438429566e-05,0.7148504464320052,1.035794535394225,0.2318019330035013,0.0015196403639433865,-0.0014658671922970613,53.90517515080961,52.328288707799764,48.84114721134512,47.15313789819028,0.14287226161498573,0.013972055888223553
train,momentum_3,random,0.8,71430,18898,0.2645667086658267,9747,9151,0.48957561646735104,-6.956252650218232e-06,-2.24290079518591e-05,-0.13145926258382415,0.9896692095855285,0.47253710071810257,0.0009589782504616278,-0.0009561968909348412,30.204254418456976,30.855116943591916,28.447454757117157,29.045401629802097,0.04233252195999577,
train,ma_10_20,unfiltered,,71902,71902,1.0,37841,34061,0.4957302995744207,-1.5849889685221735e-05,0.0,-1.1396387681468132,0.9767669110838412,1.7382789832154828,0.0009591133682515905,-0.0009714577812757536,30.47342215793719,30.647269895135043,28.77110511529582,28.928263469722676,0.0458958026202331,
train,ma_10_20,ml,0.5,71902,46085,0.640941837501043,23586,22499,0.49577953781056744,-2.4601697654581512e-05,-1.1881338694193351e-05,-1.133769236411389,0.972565282455429,1.5480980583859147,0.0012308636285253349,-0.0012490535237058842,42.697189975046115,42.94672887056526,40.049907779103826,40.28208744710861,0.0716068134967994,0.9101796407185628
train,ma_10_20,random,0.5,71902,46085,0.640941837501043,24029,22056,0.4986655093848324,-2.1771855153035778e-05,0.0,-1.0033559447276539,0.9683510772094946,1.35945456052859,0.0009590222482725726,-0.0009780268302355458,30.44591515677552,30.688944341976782,28.79678854290984,28.913963328631876,0.04339806878593903,
train,ma_10_20,ml,0.6,71902,41066,0.5711384940613613,20703,20363,0.49500803584473774,-2.782694204772183e-05,-1.4390547678878993e-05,-1.1427412021317447,0.970281907881953,1.4953999347488351,0.0012754887732768715,-0.001294064180959222,45.08839429211513,45.26372181366581,42.15896361953928,42.30019967856621,0.08035844737739249,0.9481037924151696
train,ma_10_20,random,0.6,71902,41066,0.5711384940613613,21579,19487,0.4982223737398334,-7.557557951858258e-07,0.0,-0.03103586748510112,0.9988810925322336,0.8567883944001831,0.0009646266304486941,-0.000964216943992082,30.53621000340915,30.494813227487462,28.792675205766326,28.82920177275605,0.04139677592168704,
train,ma_10_20,ml,0.7,71902,31760,0.441712330672304,15630,16130,0.492632241813602,-3.262715066282988e-05,-2.7753940917046774e-05,-1.036238305051477,0.9674810607569159,1.3757929584823005,0.0013546470080702464,-0.001376070751158751,48.885390428211586,49.39861460957179,45.28652392947103,45.768261964735515,0.10075566750629722,0.9481037924151696
train,ma_10_20,random,0.7,71902,31760,0.441712330672304,16582,15178,0.49710327455919395,-1.5185495817354148e-05,0.0,-0.4822913471591677,0.977709783721111,0.8651618757262731,0.0009578668858092031,-0.0009722628622967837,30.21410579345088,30.636020151133504,28.5264483627204,28.94836272040302,0.01889168765743073,
train,ma_10_20,ml,0.8,71902,18990,0.2641094823509777,9344,9646,0.49015271195365984,-3.696221712636453e-05,-4.688833174755653e-05,-0.7019125032296625,0.9661534582937363,1.1895342317493953,0.0014802205702515005,-0.0014994578178401038,52.480252764612956,53.754607688256975,47.39336492890995,48.599262769878884,0.1474460242232754,0.9401197604790419
train,ma_10_20,random,0.8,71902,18990,0.2641094823509777,9943,9047,0.4921011058451817,-3.1769631494139526e-05,-1.2936753623328055e-05,-0.6033053020737096,0.9548231542705529,0.9147579924052124,0.0009578834220800576,-0.0009958139942961347,29.92627698788836,30.942601369141652,28.199052132701425,29.373354397051077,0.0526592943654555,
train,breakout_20,unfiltered,,16061,16061,1.0,8633,7428,0.48346927339518087,-7.204961240911465e-06,-4.006835189433951e-05,-0.11571888249027903,0.9907395789125867,0.599204689052117,0.0011124569237697187,-0.001102366920630728,35.097441006164,35.84459249112758,32.74391382852874,33.47238652636822,0.07471514849635764,
train,breakout_20,ml,0.5,16061,12263,0.7635265550090281,6282,5981,0.49302780722498574,8.865795968923135e-06,-2.2428363806003622e-05,0.1087212559669044,1.00967351093514,0.41931738690530257,0.0013177002389650843,-0.001273680664098189,44.14091168555818,44.17353013128925,41.05846856397293,41.07477778683845,0.09785533719318273,0.09381237524950099
train,breakout_20,random,0.5,16061,12263,0.7635265550090281,6585,5678,0.4847101035635652,8.050869639313709e-06,-3.249274599445674e-05,0.098727814386904,1.0106143551133013,0.31453653916928803,0.0011125671814296886,-0.0010766703425570125,35.31762211530621,35.37470439533556,32.96909402266982,32.8549294626111,0.08970072576041752,
train,breakout_20,ml,0.6,16061,11146,0.6939792042836685,5539,5607,0.49363000179436567,1.813128158431163e-05,-2.2694210097951057e-05,0.20209126453873744,1.0190666771660906,0.4047466785254796,0.0013714489774547083,-0.0013148228057410579,46.725282612596445,46.2408038758299,43.36084694060649,42.83150906154674,0.10766194150367844,0.033932135728542916
train,breakout_20,random,0.6,16061,11146,0.6939792042836685,6004,5142,0.4860936658891082,-7.527017363082347e-07,-2.913916434344559e-05,-0.008389613552891584,0.999025063393227,0.3567701539284031,0.0011109886774700614,-0.0010965258446534324,35.24134218553741,35.78862372151445,32.96249775704288,33.33931455230576,0.07177462766911898,
train,breakout_20,ml,0.7,16061,9212,0.5735632899570388,4272,4940,0.4955492835432045,4.238360465844787e-05,-1.8950949347942414e-05,0.39043776611362174,1.042523609652086,0.3440370611293138,0.001456602551177282,-0.0013736991627066046,50.390794615718626,49.26183239253148,46.471993052540164,45.299609205384286,0.11940946591402518,0.001996007984031936
train,breakout_20,random,0.7,16061,9212,0.5735632899570388,4935,4277,0.48317412071211463,1.3128976751157032e-05,-3.5422645499005315e-05,0.12094413383165858,1.017085724185295,0.3354689211533878,0.0011238102596006774,-0.0010880740462970576,35.34520191055145,35.82283977420755,33.08727746417716,33.47807207989579,0.07598784194528875,
train,breakout_20,ml,0.8,16061,6249,0.38907913579478237,2840,3409,0.49751960313650184,5.1650409928262954e-05,-9.037043616349736e-06,0.3227634116417152,1.0483039510497714,0.2872901336435593,0.0015670496316515965,-0.001475477634493982,54.152664426308206,52.52040326452232,49.12786045767323,47.28756601056169,0.16002560409665545,0.011976047904191617
train,breakout_20,random,0.8,16061,6249,0.38907913579478237,3355,2894,0.48135701712273965,1.2043697469466701e-05,-4.357045342318529e-05,0.07526106548669742,1.0156969609858513,0.3228588436891593,0.001117449733732126,-0.0010933268160000823,34.565530484877584,36.0857737237958,32.40518482957273,33.941430628900626,0.08001280204832772,
train,completed_bar_direction,unfiltered,,70941,70941,1.0,36070,34871,0.49160570051169283,-2.3224438466720254e-06,-1.4835122449100694e-05,-0.16475648892676015,0.9965794931716019,0.601602502990256,0.0009697248622533174,-0.0009708883808737485,30.39850016210654,30.86931393693351,28.65338802667005,29.17494819638855,0.04510790657024852,
train,completed_bar_direction,ml,0.5,70941,45632,0.6432387476917438,22979,22653,0.5004821178120618,1.9563842409277235e-05,5.99488815653084e-06,0.8927372568201388,1.022297671673525,0.24329892864559097,0.0012588388327359587,-0.001228771403055255,43.000525946704066,42.65646914446003,40.29409186535764,40.04207573632538,0.07012622720897616,0.001996007984031936
train,completed_bar_direction,random,0.5,70941,45632,0.6432387476917438,23194,22438,0.4912999649368864,-7.338024519419753e-06,-1.5320965769209134e-05,-0.33484873487016215,0.9892236382116055,0.5383939455029583,0.0009678281772854149,-0.0009699964976412126,30.59037517531557,30.892794530154276,28.8109221598878,29.15717040673212,0.037254558204768584,
train,completed_bar_direction,ml,0.6,70941,40670,0.5732933000662522,20223,20447,0.502655520039341,2.9186361604217216e-05,1.4857231721994249e-05,1.1870093264435142,1.0320520791224042,0.20388492978204834,0.0013095323744740472,-0.001267661808926014,45.58150971231866,44.775018441111385,42.579296778952546,41.87607573149742,0.07868207523973444,0.001996007984031936
train,completed_bar_direction,random,0.6,70941,40670,0.5732933000662522,20736,19934,0.4892795672485862,-1.0025640676788217e-05,-2.1169016879378314e-05,-0.40774280632497684,0.9852165604633388,0.5299399724845947,0.0009622049175715472,-0.0009684631388932326,30.253257929677897,30.941726088025572,28.51241701499877,29.277108433734938,0.046717482173592326,
train,completed_bar_direction,ml,0.7,70941,31450,0.4433261442607237,15214,16236,0.5022257551669317,3.276004424774761e-05,1.4733715584913335e-05,1.0303033915916622,1.033641030529069,0.2203086393096152,0.0013928526870878356,-0.0013467449816479177,49.72337042925278,48.5818759936407,46.054054054054056,45.011128775834656,0.09856915739268679,0.001996007984031936
train,completed_bar_direction,random,0.7,70941,31450,0.4433261442607237,15911,15539,0.49058823529411766,-1.6015100767398178e-05,-1.644331810297593e-05,-0.5036749191346727,0.9764587942143906,0.6101295777388053,0.0009561537072193371,-0.0009732408299111305,30.117647058823525,30.76629570747218,28.486486486486484,29.068362480127185,0.047694753577106515,
train,completed_bar_direction,ml,0.8,70941,18810,0.26514991330824206,8916,9894,0.5057947900053164,3.810353449053225e-05,3.480588914422479e-05,0.7167274837669115,1.0360396203950997,0.18764807698394095,0.0015172639880414909,-0.0014700755617688085,53.98724082934609,52.238171185539606,48.825093035619346,47.16108452950558,0.14354066985645933,0.005988023952095809
