epoch,train_loss,internal_validation_loss,train_auc,internal_validation_auc
1,0.6967943906784058,0.7199509739875793,0.5105200965145973,0.46466699690076757
2,0.692231297492981,0.7128288149833679,0.5292644511334618,0.465081250739739
3,0.6902459263801575,0.7109152674674988,0.5409909774065641,0.4693346951836964
4,0.6889448165893555,0.7106117010116577,0.5490625966952982,0.47226428079834826
5,0.687823474407196,0.7104503512382507,0.5555242560197772,0.4743377418124592
6,0.6869848966598511,0.7102473974227905,0.5604855860218969,0.47597963361549356
7,0.6862905621528625,0.7100893259048462,0.5643653066135996,0.47822668671450674
8,0.685671329498291,0.7100656032562256,0.5676503736245411,0.4802600374362729
9,0.68509441614151,0.7102652192115784,0.5705498993083012,0.48214872808728704
10,0.6845435500144958,0.7104701399803162,0.5731885415851707,0.4842377510181
11,0.6840035319328308,0.7108698487281799,0.5756668270189979,0.4845897571902631
12,0.6834470629692078,0.7107509970664978,0.5783878445533492,0.48519426094046586
13,0.6828396916389465,0.7107530236244202,0.5810060534132984,0.48594101376024135
